title,genres,countries,type,description,rating_imdb,votes_imdb,movieLength,ratingMpaa
love,"драма, мелодрама","Франция, Бельгия",movie,"Молодой американец Мёрфи учится в парижской киношколе. Он живёт с французской подружкой по имени Электра, с которой встречается уже два года. Однажды они решают добавить огоньку в отношения.",6.1,69508,135,
the oa,"фантастика, фэнтези, драма, детектив",США,tv-series,"Девушка по имени Прерия Джонсон возвращается домой через семь лет после загадочного исчезновения. Что с ней произошло, никто не знает, а сама девушка не рассказывает, лишь утверждает, что все это время была поблизости. Ещё больше интриги добавляет чудесное прозрение девушки — до исчезновения она была слепой, поэтому членов семьи она узнает только на ощупь.",7.8,120471,0,
stranger things,"ужасы, фантастика, фэнтези, триллер, драма, детектив",США,tv-series,"1980-е годы, тихий провинциальный американский городок. Благоприятное течение местной жизни нарушает загадочное исчезновение подростка по имени Уилл. Выяснить обстоятельства дела полны решимости родные мальчика и местный шериф, также события затрагивают лучшего друга Уилла – Майка. Он начинает собственное расследование. Майк уверен, что близок к разгадке, и теперь ему предстоит оказаться в эпицентре ожесточенной битвы потусторонних сил.",8.7,1408912,0,
ingobernable,"триллер, драма, криминал, детектив",Мексика,tv-series,,7.0,3537,0,
zootopia,"мультфильм, комедия, криминал, детектив, приключения, семейный, боевик",США,cartoon,"Добро пожаловать в Зверополис – современный город, населенный самыми разными животными, от огромных слонов до крошечных мышек. Зверополис разделен на районы, полностью повторяющие естественную среду обитания разных жителей – здесь есть и элитный район Площадь Сахары и неприветливый Тундратаун. В этом городе появляется новый офицер полиции, жизнерадостная зайчиха Джуди Хоппс, которая с первых дней работы понимает, как сложно быть маленькой и пушистой среди больших и сильных полицейских. Джуди хватается за первую же возможность проявить себя, несмотря на то, что ее партнером будет болтливый хитрый лис Ник Уайлд. Вдвоем им предстоит раскрыть сложное дело, от которого будет зависеть судьба всех обитателей Зверополиса.",8.0,552138,108,pg
meet the blacks,"ужасы, комедия",США,movie,"Одна молодая семья переживает море жутких опасностей и нападений в ту единственную ночь в году, когда разрешается безнаказанно совершать любые преступления.",4.8,37940,94,r
finding dory,"мультфильм, комедия, приключения, семейный",США,cartoon,"Дори — синяя доброжелательная рыбка-хирург, страдающая провалами в памяти. Она упорно стремится избавиться от своего недуга и найти свою семью.",7.2,306533,97,pg
sausage party,"мультфильм, фэнтези, комедия, приключения","США, Канада",cartoon,"История о приключениях еды из супермаркета. Съедобным друзьям предстоит узнать ответы на вопросы мироздания: есть ли жизнь за стенами супермаркета, и что же происходит с продуктами после того, как они попадают к людям домой.",6.1,211562,89,r
pete's dragon,"фэнтези, боевик, драма, комедия, приключения, семейный","США, Великобритания, Новая Зеландия, Индия",movie,"В течение многих лет Мистер Мичем забавлял местных детишек сказочными историями о свирепом драконе, обитающим на севере, глубоко в лесах. Для его дочери Грейс все эти истории казались ничем иным как выдумкой, ровно до тех пор, пока она не встретила в лесу маленького мальчика по имени Пит. Пит уже долгое время живет в диком лесу, у него нет ни дома, ни семьи, зато есть замечательный друг – огромный зеленый дракон Эллиот. Грейс решает разгадать историю юного Пита, узнать всю правду о его семье и загадочном драконе, о котором ходит так много слухов и легенд.",6.7,61898,102,pg
kevin hart: what now?,"документальный, комедия",США,movie,"Грандиозное стендап шоу знаменитого чернокожего комика Кевина Харта перед огромной толпой зрителей на стадионе «Линкольн Файненшел Филд», домашней арене команды Национальной футбольной лиги «Филадельфия Иглз».",5.9,9993,96,r
the discovery,"фантастика, триллер, драма, мелодрама",США,movie,"Учёный Томас Харпер совершил открытие - научно доказал, что смертью жизнь не заканчивается, что после смерти есть что-то ещё. Миллионы людей на Земле стали совершать самоубийства, полагая, что таким образом смогут попасть в лучшее место.",6.2,37713,110,
chewing gum,комедия,Великобритания,tv-series,"Трейси Гордон живет в спальном районе Лондона в религиозной семье, работает кассиршей в местном магазинчике и обожает Бейонсе. В свои 24 года девушка остается девственницей, но решительно настроена это исправить и составляет для этого целый план. Ее неуклюжие попытки соблазнения вечно заканчиваются провалом, но даже в самых нелепых ситуациях Трейси спасает чувство юмора.",7.7,10905,0,
cheer squad,триллер,Канада,movie,,4.7,261,89,
only for one night,триллер,США,movie,"В семье Уильяма и Хлои царят любовь и счастье. Пока однажды не появляется кто-то, кто готов пойти на все, чтобы разрушить эту идиллию. Сестра Хлои и ее муж провели вместе всего одну ночь... но последствия этой ночи разрушили не одну жизнь.",4.4,789,86,
the life aquatic with steve zissou,"боевик, драма, мелодрама, комедия, приключения",США,movie,"«Я буду мстить», — заявил на пресс-конференции знаменитый океанограф. А мстить он собрался акуле, съевшей, не поперхнувшись, его лучшего друга и помощника. Собрав разношерстную команду, бесстрашный исследователь устремляется на поиски своего смертельного врага.",7.2,211948,119,r
the l word,"драма, мелодрама","США, Канада",tv-series,"В Лос-Анджелесе кипят страсти и переплетаются судьбы восьми лесбиянок, которых между собой связывает гораздо больше, чем каждую из них – с окружающим их внешним миром.",7.7,29368,0,
30 rock,комедия,США,tv-series,"Команде придурковатых сценаристов относительно популярного телешоу «The Girlie Show» во главе с Лиз Лемон назначают нового босса — Джека Донаги. А тот, в свою очередь, первым делом приглашает в шоу новую звезду — полусумасшедшего черного комика Трейси Джордана, эдакую пародию на Мартина Лоуренса. В итоге, на рабочем месте начинается полный хаос: сценаристы против босса, новая звезда против сценаристов, старые актеры недовольны всеми, а тут еще и непонятный секретарь Кеннет, по которому не совсем ясно, действительно ли он непроходимый дебил, или на самом деле большой хитрец…",8.3,134126,0,
mad men,драма,США,tv-series,"США, 60-е годы ХХ века. В центре повествования - работа рекламного Агентства «Стерлинг-Купер», расположенного на престижной Медисон-авеню в центре Нью-Йорка, и жизнь его креативного директора - мастера манипуляций и интриг - Дона Дрейпера. Находясь на вершине карьеры, он противостоит конкурентам, стараясь сберечь свое положение в компании. Служебные и семейные перипетии Дона и его коллег происходят на фоне глобальных событий в жизни американского общества тех лет…",8.7,270195,0,
it's always sunny in philadelphia,комедия,США,tv-series,"О владельцах не слишком успешного ирландского паба в южной Филадельфии, которые постоянно ссорятся, врут и пытаются что-то друг другу доказать.",8.8,261858,0,
californication,"драма, комедия",США,tv-series,"Известный писатель Хэнк Муди переживает творческий и личностный кризис. За пять лет он не написал ни строчки, лишился любимой женщины и окончательно погряз в пороках: марихуане, алкоголе и однодневных связях. Но он не теряет надежды вновь обрести потерянную семью и вернуться к творчеству.",8.3,190861,0,
portlandia,комедия,США,tv-series,"Добро пожаловать в «Портландию», телесериал, которого в принципе не должно существовать. Как следует из названия, он пародирует нравы жителей Портленда, штат Орегон, — города с полумиллионным населением, который в последние годы оказался центром американской буржуазной богемы. Пародирует он эти нравы не то чтобы оригинально и местами даже не слишком смешно, но с какой-то дьявольской, невиданной доселе точностью прицела.",7.8,23658,0,
don't trust the b---- in apartment 23,комедия,США,tv-series,"Однокамерная комедия рассказывает о Джун, искренней, честной и оптимистичной провинциальной девушке, которая по независящим от неё причинам была вынуждена съехаться с привлекательной и крайне непостоянной тусовщицей из Нью-Йорка, взгляды которой больше похожи на пиратские.",7.3,41243,0,
friends with benefits,"мелодрама, комедия, драма",США,movie,"Дилан и Джейми, оба разочарованные в серьезных отношениях, договариваются, что между ними будет только секс без обязательств. Однако постепенно они влюбляются друг в друга.",6.5,397173,109,r
the client list,"драма, криминал",США,tv-series,"В центре сюжета обычная домохозяйка из Техаса, которая устраивается на работу в массажный салон, но вскоре понимает что ей придется предоставлять клиентам не только массаж…",6.5,12849,0,
halt and catch fire,драма,США,tv-series,"Сюжет разворачивается в 1980-х. Сериал рассказывает о компьютерном буме от лица мечтателя, инженера и вундеркинда, чьи инновации столкнулись с корпоративными гигантами того времени.",8.4,36289,0,
5 to 7,"драма, мелодрама, комедия",США,movie,"История о страстном романе молодого писателя и красавицы-жены французского дипломата, живущих в Нью-Йорке. Каждый день на любовь у них есть всего 2 часа с пяти до семи.",7.1,21640,95,r
chef's table,"документальный, биография",США,tv-series,"Героями сериала стали повара всемирно известных ресторанов, которые рассказывают о своей жизни, о своих ресторанах и о том, как рождаются их шедевры.",8.5,17334,0,
documentary now!,комедия,США,tv-series,"Телесериал «Документалистика сегодня» - это не совсем документальное кино. Это пародия, совмещенная с хулиганским шоу. Это некая издевка над серьезными документальными фильмами. Причем каждая серия осмеивает новый документальный фильм.",8.1,8261,0,
better call saul,"драма, криминал",США,tv-series,"История об испытаниях и невзгодах, которые приходится преодолеть Солу Гудману, адвокату по уголовным делам, в тот период, когда он пытается открыть свою собственную адвокатскую контору в Альбукерке, штат Нью-Мексико.",9.0,703083,0,
schitt's creek,короткометражка,США,movie,,0.0,0,0,
lovesick,комедия,Великобритания,tv-series,"Выяснив, что подхватил венерическое заболевание, Дилан должен связаться со всеми девушками, с которыми он занимался сексом, чтобы сообщить им плохие новости.",8.0,23303,0,
flaked,"драма, мелодрама, комедия",США,tv-series,"Мебельщик Чип переезжает в калифорнийскую Венецию, чтобы избавиться от своих старых привычек, завести новых друзей и направить свою жизнь в нужное русло.",7.2,12737,0,
master of none,"драма, комедия",США,tv-series,"Сериал о жизни малоуспешного нью-йоркского актёра индийского происхождения. Тридцатилетний Дев зарабатывает на жизнь небольшими ролями в рекламе и фильмах категории B. Пока его ровесники заводят семьи, он в компании других одиноких друзей пытается интересно проводить время.",8.2,77131,0,
chelsea,"ток-шоу, комедия",США,tv-series,,6.4,2175,0,
abstract: the art of design,документальный,США,tv-series,"Мир, в котором мы живём, создан дизайнерами. Модельеры, дизайнеры одежды определяют, что мы будем носить в ближайшие годы. Графические дизайнеры – то, как будут выглядеть книги, журналы или web-сайты. Дизайнеры автомобилей – то, на чём мы будем ездить. Промышленные дизайнеры – внешний вид вещей, которые нас окружают. Архитекторы – облик наших городов. Создатели сериала решили показать, как работают современные дизайнеры, что вдохновляет их, какими приёмами они пользуются и что хотят сказать своими работами.",8.3,6013,0,
cooper barrett's guide to surviving life,комедия,США,tv-series,"Молодежная комедия о компании молодых парней, которые решают поселиться в одной квартире, делать только то, что хочется, и ни от кого не зависеть. Правда, не все идет гладко: с завидной частотой друзья попадают в нелепые и даже опасные ситуации, но благодаря везению и взаимовыручке всегда каким-то образом из них выпутываются.",6.3,1658,0,
the great british baking show,"игра, реальное ТВ",Великобритания,tv-series,"Участниками телепрограммы становятся десять кулинаров-любителей, которые готовы побороться за звание лучшего пекаря Королевства.",8.6,13934,0,
life in pieces,комедия,США,tv-series,"Семейная комедия, которая состоит из отдельных историй разных членов семьи.",8.0,17844,0,
crazy ex-girlfriend,"мюзикл, комедия",США,tv-series,"Одинокая Ребекка спустя десять лет встречает свою школьную любовь, парня по имени Джош. Она решает бросить престижную работу юриста в Нью-Йорке, чтобы отправиться в Уэст-Ковину, штат Калифорния, где и проживает парень.",7.9,23300,0,
easy,комедия,США,tv-series,"Восемь историй друзей из Чикаго, которые блуждают по лабиринту современности, составленного из любви, секса, новых технологий и массовой культуры.",6.9,15664,0,
no tomorrow,"драма, мелодрама, комедия",США,tv-series,"Романтическая история о двух противоположностях – девушке, которая всеми силами стремится к стабильности и избегает риска, и мужчине, который верит, что конец света неизбежен, и потому готов на все, что угодно, чтобы прожить оставшиеся дни незабываемо.",7.2,5443,0,
minimalism: a documentary about the important things,документальный,США,movie,,6.6,16752,78,
hot girls wanted: turned on,документальный,США,tv-series,,6.6,2420,0,
win it all,комедия,США,movie,"Эдди Гарретт соглашается присмотреть за сумкой своего приятеля, который отправляется в тюрьму. В сумке Эдди находит деньги и, погрязший в долгах, поддаётся искушению. Когда тюремный срок приятеля подходит к концу, у Эдди внезапно появляется шанс вернуть все потраченные деньги.",6.2,10352,88,
merlí,"драма, мелодрама, комедия",Испания,tv-series,"Сериал про учителя философии, который вдохновляет студентов мыслить свободно, используя при этом нестандартные методы.",8.6,10296,0,
amy schumer: the leather special,комедия,США,movie,"Эми Шумер рассказывает о сексе, свиданиях и нелепости славы в смелом и не прошедшем цензуру выступлении в театре Bellco в Денвере.",3.2,10632,57,
louis c.k. 2017,комедия,США,movie,Полноценное выступление одного из лучших американских стендап-комиков современности. Свой очередной тур Луиc С. К. подкрепил своеобразным промо-концертом для «Netflix».,7.6,10889,74,
dave chappelle,комедия,США,movie,В заключительном стендап-шоу серии Дэйв намерен расставить все точки над «i» — и наконец выговориться.,7.9,29158,72,
almost adults,"драма, комедия",Канада,movie,"В молодости жизнь кажется такой простой и беззаботной. Однако, несмотря на это, любое отклонение от привычного жизненного уклада может привести к серьезным последствиям. Некоторые вещи воспринимаются особенно тяжело, а переживания сопровождаются сильными эмоциями. Именно в таком возрасте находятся главные героини фильма «Почти взрослые». В центре истории оказываются две девушки, недавно начавшие свое обучение в колледже. Маккензи и Кэсси, познакомившись однажды, смогли сохранить дружбу. У каждой из них свой характер, увлечения, интересы желания и взгляды на настоящее и будущее. Но, несмотря на это, они с огромным интересом общаются друг с другом, без труда находят общие темы для разговоров и много времени проводят вместе. Их дружба не раз проходила проверку на прочность и каждый раз они приходили к пониманию важности взаимопомощи и поддержки. Но сейчас они оказываются в таких условиях, когда любой незначительный конфликт может привести к разрушению всего того, что создавалось годами.",5.6,3156,90,
the brothers,"драма, мелодрама, комедия",США,movie,"Жениться или не жениться - поистине гамлетовский вопрос современных повес. Четверо друзей - банкир, доктор, адвокат и «плейбой» проповедуют политику разнообразия и количественных рекордов в отношении женщин. Они называют друг друга «братьями», и во многом похожи.

Но на небосклоне веселой и беззаботной жизни вдруг появились черные тучи: один из друзей объявил о своей помолвке. Самое страшное заключалось в том, что эта неприятность приключилась с оплотом аморального поведения - «плейбоем». Теперь троим озадаченным друзьям также предстоит пересмотреть свое легкомысленное отношение к слабому полу.",6.3,5101,106,r
skins,драма,Великобритания,tv-series,"Они - подростки, дети современной Британии, со своими проблемами и радостями жизни. Переходный возраст, формирование личности, проявление характера. Секс, наркотики, вечеринки и вызов всему сознательному миру. Они не признают правила, мораль и принципы обычной жизни. Они хотят быть независимыми и делать только то, что хочется им самим. Им плевать на порядок и общественные устои. Они - новое поколение.",8.2,95783,0,
the cleveland show,"мультфильм, комедия, приключения",США,animated-series,"Спин-офф сериала «Гриффины» про Кливленда. Теперь у него 14-летний сын, а сам он переезжает в свой родной город, где сразу же женится на бывшей возлюбленной, у которой есть сын и дочь.",5.6,43539,0,
absolutely fabulous,комедия,Великобритания,tv-series,"Эдина и Пэтси только и делают, что чешут языками и бахвалятся подвигами, многие из которых выглядят не совсем правдоподобно. Но ведь не соврешь - красиво не расскажешь. В шестидесятые они ловили глюки, в семидесятые рассекали на каблуках и плясали диско, в восьмидесятые прикидывались панками и прокалывали все, что еще не было проколото. 

Они всегда всех убирали! Мужики лежали штабелями, закатив глаза! Лишь иногда к хвастливым россказням примешиваются спазмы в горле и слезы в голосе. Но это лишь затем, чтобы вновь залиться счастливым смехом.",8.2,22073,0,
raising hope,"комедия, семейный",США,tv-series,"Сериал расскажет о Джимми, 22-летнем мужчине воспитывающем маленького ребенка. В этом нелегком деле ему помогает его причудливая семья. Мама ребенка, с которой Джимми был всего одну ночь, оказывается в камере смертников.",8.1,41624,0,
come fly with me,комедия,Великобритания,tv-series,"Сериал рассказывает о различных людях, оказывающихся в аэропорту.",7.5,10199,0,
brickleberry,"мультфильм, комедия",США,animated-series,"Рейнджеры-раздолбаи чудом остаются при своих рабочих местах, когда сталкиваются с закрытием парка. На помощь приходит новенькая девушка-рейнджер, чья цель — преобразить и сохранить заповедник. Всё это выглядит особо комичным, ведь зачастую лесу и его жителям в большей степени угрожают те, кто должен охранять.",7.3,18228,0,
bojack horseman,"мультфильм, драма, комедия",США,animated-series,"Сюжет разворачивается вокруг коня по имени БоДжек, который хлещет виски, его бывшей возлюбленной и его друга-человека.",8.8,203775,0,
being mary jane: the series,"триллер, драма, мелодрама",США,tv-series,"Речь пойдет о красивой и успешной женщине, которая создала свое телевизионное ток–шоу, в которое она приглашает различных знаменитостей и ведет с ними беседу. Казалось бы, главная героиня удачлива во всем: семейная жизнь у нее сложилась, работа тоже приносит удовольствие. Но такая жизнь кажется идиллией только на первый взгляд, на самом деле все намного сложнее и труднее.",7.6,4385,0,
unbreakable kimmy schmidt,комедия,США,tv-series,Женщина сбегает из культа поклонения концу света и начинает новую жизнь в Нью-Йорке.,7.5,80441,0,
bordertown,"триллер, криминал, детектив","Мексика, США",movie,"История репортерши американской газеты Чикаго Сентинел по имени Лорен, чьим очередным редакционным заданием становится коммандировка в мексиканский приграничный городок Хуарез, где она должна будет провести собственное расследование серии нераскрытых убийств женщин - работниц фабрик, произошедших по всей стране.

В ходе расследования Лорен узнает, что счет жертв идет уже на сотни. Чтобы узнать об этой ситуации побольше, она решает войти в доверие в работницам местной фабрики, что в последствии подвергает ее собственную жизнь опасности.",6.0,11557,112,r
jane the virgin,комедия,США,tv-series,"Джейн выросла под влиянием строгой латиноамериканской бабушки, которая с ранних лет учила внучку скромности и воздержанию. Даже став красивой молодой женщиной, Джейн оставалась целомудренной и пресекала все неприличные поползновения со стороны своего жениха. Но обычный поход к гинекологу изменил всю жизнь девушки. Она стала жертвой случайного искусственного оплодотворения! Мир перевернулся с ног на голову, и теперь ей предстоит принять сложное решение, разобраться с шокированной родней, познакомиться с биологическим отцом малыша и сделать ещё много всего такого, о чем две недели назад она не могла и подумать.",7.9,61234,0,
dope,"драма, комедия, криминал, приключения",США,movie,"В центре истории подросток, мечтающий учиться в Гарварде, однако живет он в преступном района Инглвуда, откуда выбраться не так уж и просто.",7.2,89587,103,r
the carmichael show,комедия,США,tv-series,,7.7,3374,0,
november rule,комедия,,movie,,5.3,906,94,
haters back off,"драма, мелодрама, комедия",США,tv-series,"В центре событий — видеоблогер YouTube Миранда Сингс, чей канал насчитывает более 6 млн подписчиков. Девушка воплощает образ бесталанной, но крайне амбициозной и заносчивой певицы, которая намеревается стать настоящей звездой. Сериал разворачивается вокруг отчаянных попыток Миранды исполнить заветную мечту, а также раскрывает подробности жизни её семьи и ближайшего окружения.",5.9,7961,0,
kubo and the two strings,"мультфильм, фэнтези, боевик, приключения, семейный","Великобритания, США",cartoon,"Кубо - наследник великого рода, но когда возвратились духи прошлого, жаждущие мести, на его защиту отважилась встать лишь странная парочка хранителей. И теперь для Кубо единственный шанс на спасение – найти магические доспехи отца, легендарного самурая.",7.7,139142,101,pg
a weekend with the family,"мелодрама, комедия",США,movie,,4.8,395,82,
crazyhead,"ужасы, фантастика, комедия",Великобритания,tv-series,"Эми и Ракет пытаются найти свой путь в жизни, на котором пока им встречаются одни только недружелюбные демоны.",7.2,5571,0,
queen of katwe,"драма, биография, спорт",США,movie,"Правдивая история о юной шахматистке Фионе Мутези, вышедшей из нищих районов Уганды. Голодная безграмотная девочка, обнаружившая талант благодаря миссионеру, загорается мечтой стать игроком мирового уровня, чтобы изменить свою, казалось бы, обречённую жизнь.",7.4,18782,124,pg
little boxes,"драма, комедия",США,movie,"Межрасовая семья с трудом адаптируется к новой обстановке после переезда из Нью-Йорка в маленький город штата Вашингтон, где преобладает белое население.",5.9,2225,84,
deidra & laney rob a train,"драма, комедия, криминал",США,movie,"Дейдра Таннер - крайне умная старшеклассница. Она продает ответы на тесты по химии, чтобы накопить на колледж, помогая матери растить свою упрямую маленькую сестру Лани и брата Джета. Дейдра работает намного больше, чем обычный подросток, но она держится, пока мать не разбивает безумно дорогой телевизор на её работе. Когда Дейдра понимает, что тюремное заключение оказывает здоровый и терапевтический эффект на одинокую жизни её матери, то её собственная жизнь идёт под откос.",6.0,2094,92,
hurricane bianca,комедия,США,movie,"Школьный учитель Ричард приехал из Нью-Йорка в маленький городок в Техасе, но был уволен из школы за нетрадиционную сексуальную ориентацию. Некоторое время спустя Ричард вернётся в школу в образе жесткой и бескомпромиссной дамы, чтобы отомстить поганому городку, а особенно — мерзкой школьной директрисе.",5.8,6709,84,
honeytrap,"драма, мелодрама, криминал",Великобритания,movie,,5.8,826,93,
greenleaf,драма,США,tv-series,"Грейс Гринлиф возвращается в дом своих богатых родителей в Мемфисе, штат Теннеси, после загадочной смерти сестры. Её отец является епископом мегацеркви и рад возвращению блудной дочери, а мать и другие члены семейства не рады Грейс.",7.5,6278,0,
lazy eye,"драма, мелодрама, комедия",США,movie,,6.4,1995,87,
like cotton twines,драма,"США, Грузия, Гана",movie,,7.7,77,96,
the wedding party,"боевик, триллер, комедия","США, Германия, Канада",movie,"Крутой агент ЦРУ во время секретной операции узнает, что его сын повзрослел и решил жениться. Он бросает все и летит на встречу с новыми родственниками. С этого момента жизнь мирного врача — отца невесты превращается в шпионский боевик: международные террористы и колумбийские контрабандисты, роковые красотки и большие-большие деньги, автомобильные погони и гонки на воде, свист пуль и визг тормозов… Ничто не может остановить папаш, когда свадьба их детей под угрозой!",5.7,18057,98,pg13
boy bye,"короткометражка, музыка",США,movie,,0.0,0,2,
nancy drew,"ужасы, драма, детектив",США,tv-series,"Нэнси Дрю только что окончила школу и собирается поступать в колледж в другом городе, а пока подрабатывает официанткой. Однако планы придётся отложить — происходит таинственное убийство, в котором подозревают нескольких подростков, в том числе и главную героиню. Ей придётся провести собственное расследование.",6.7,11307,0,
nurse jackie,"драма, комедия",США,tv-series,"Медсестра Джеки — волевая и талантливая, но очень испорченная и грубая женщина. Она пытается отыскать баланс между тяжёлой работой в центральной нью-йоркской больнице и сложной личной жизнью. Католичка, отошедшая от церкви, которая не может побороть слабость к таким обезболивающим, как Аддеролл и Викодин, вершит в госпитале свою справедливость. Почти каждый рабочий день она делает выбор между собственными слабостями, докторами и пациентами.",7.8,30150,0,
drop dead diva,"фантастика, драма, комедия",США,tv-series,"Молодая и красивая, но поверхностная девушка умирает. В связи с ошибкой на небе она возвращается обратно на Землю, но в теле толстой юристки полной противоположности самой себе в прошлом. Она помнит все свои воспоминания, но также получает и знания этой юристки. Теперь мало того, что ей придется мучиться в этом своем новом теле и заниматься юридическими делами, но и ее бывший бойфренд начинает работать в той же юридической фирме.",7.5,21386,0,
gilmore girls,"драма, комедия",США,tv-series,"Добро пожаловать в Старз Холлоу! Маленький живописный городок находящийся неподалёку от Гарварда. С населением всего в девять тысяч человек, одним отелем, маленькими магазинчиками, несколькими ресторанами, средней школой, танцевальной студией, видео салоном и единственным в городе... светофором. Здесь и протекает жизнь одинокой молодой мамы, тридцати двух лет, и её шестнадцатилетней дочки. Хотя на первый взгляд их можно принять за сестёр. Они лучшие подруги, разделяют практически всё - от взглядов на мир до вкусов на еду, музыку и кино. Картинка из жизни Лорелай и Рори очень насыщенная, непредсказуема и неординарна. И будьте уверены в том, что с Девочками Гилмор вам никогда не будет скучно!",8.2,157420,0,
